Rank,Name,City,State,Public_Private,Undergraduate_Population,Student_Population,Net_Price,Average_Grant_Aid,Total_Annual_Cost,Alumni_Salary,Acceptance_Rate,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,Website,,,
543,Hood College,Frederick,MD,Private,1214,2112,34839,26864,54840,82600,81,,,,,www.hood.edu,,,
545,St. Catherine University,St. Paul,MN,Private,3747,4724,34838,26729,50716,82600,70,1040,1310,20,26,www.stkate.edu,,,
363,John Brown University,Siloam Springs,AR,Private,2230,2613,34819,15476,38834,82700,76,1080,1310,24,29,www.jbu.edu,,,
305,Appalachian State University,Boone,NC,Public,17811,18811,34752,8312,33819,82700,70,1100,1270,23,27,www.appstate.edu,,,
527,Baldwin Wallace University,Berea,OH,Private,3577,3791,34550,19781,46004,82800,78,,,,,www.bw.edu,,,
389,Union University (TN),Jackson,TN,Private,2853,3377,34464,24075,51790,83000,60,1070,1320,23,29,www.uu.edu,,,
600,Western Kentucky University,Bowling Green,KY,Public,20257,21431,34459,7295,36806,83100,95,970,1180,19,27,www.wku.edu,,,
630,Kent State University Kent Campus,Kent,OH,Public,27376,28972,34240,7306,34046,83100,88,1040,1220,21,25,www.kent.edu,,,
598,Aurora University,Aurora,IL,Private,4248,5833,34212,15909,37028,83400,87,950,1130,19,23,www.aurora.edu,,,
592,Texas Woman's University,Denton,TX,Public,12020,15473,34173,8426,29683,83400,86,890,1080,17,23,www.twu.edu,,,
620,Millikin University,Decatur,IL,Private,2040,2132,34159,23312,47664,83400,65,1080,1260,19,26,www.millikin.edu/Pages/default.aspx,,,
603,Rhode Island College,Providence,RI,Public,8171,8318,34032,6877,35465,83500,74,880,1090,15,22,www.ric.edu,,,
506,Webster University,St. Louis,MO,Private,3732,12736,33848,17927,44962,83500,54,1040,1253,21,26,www.webster.edu,,,
491,"CUNY, Lehman College",New York,NY,Public,14130,15231,33814,10685,34532,83500,35,970,1100,,,www.lehman.cuny.edu,,,
589,Central Michigan University,Mount Pleasant,MI,Public,20786,23257,33738,8624,35236,83600,68,1010,1200,20,27,www.cmich.edu,,,
420,Agnes Scott College,Decatur,GA,Private,921,981,33586,29066,54065,83600,66,,,,,www.agnesscott.edu,,,
642,Fisk University,Nashville,TN,Private,701,738,33570,9396,37070,83600,45,940,1260,16,22,www.fisk.edu/Home.aspx,,,
487,Ball State University,Muncie,IN,Public,19231,22513,33480,10658,40448,83700,62,1080,1240,20,24,cms.bsu.edu,,,
627,University of Southern Mississippi,Hattiesburg,MS,Public,13606,14478,33382,9292,24883,83900,98,,,19,26,home.usm.edu,,,
611,Southeastern Louisiana University,Hammond,LA,Public,14285,16512,33358,7250,34155,83900,88,,,19,24,www.selu.edu,,,
639,Hiram College,Hiram,OH,Private,1200,1221,33183,23318,47757,84100,64,940,1200,18,24,www.hiram.edu,,,
404,Berklee College of Music,,MA,Private,6762,6952,33120,19811,63574,84200,53,,,,,,,,
428,High Point University,High Point,NC,Private,4608,4951,33036,10331,51105,84300,81,1050,1240,21,27,www.highpoint.edu,,,
303,Maryland Institute College of Art,,MD,Private,2041,2128,32911,18939,62850,84500,62,1060,1290,24,29,,,,
547,Millersville University,Millersville,PA,Public,7720,7915,32898,5668,38569,84700,79,970,1160,,,https://www.millersville.edu,,,
391,Lipscomb University,Nashville,TN,Private,3705,4642,32829,18955,47734,84800,60,1060,1330,23,29,https://www.lipscomb.edu,,,
490,"CUNY, John Jay College of Criminal Justice",New York,NY,Public,14834,15583,32731,9007,41261,84800,39,980,1130,,,www.jjay.cuny.edu,,,
393,Berry College,Mount Berry,GA,Private,2110,2138,32721,21883,50632,84900,62,1120,1300,24,29,www.berry.edu,,,
526,Lynn University,Boca Raton,FL,Private,2245,3010,32720,14306,55923,85000,85,,,,,www.lynn.edu,,,
525,Andrews University,Berrien Springs,MI,Private,2250,3300,32718,16809,39714,85000,58,1040,1320,21,29,www.andrews.edu,,,
573,Oral Roberts University,Tulsa,OK,Private,3781,3919,32623,19393,41054,85100,93,990,1210,20,26,www.oru.edu,,,
371,Hanover College,Hanover,IN,Private,1089,1103,32620,26000,50450,85100,84,1070,1260,22,27,www.hanover.edu,,,
323,College of Charleston,Charleston,SC,Public,10863,11322,32442,9018,48057,85100,80,1070,1230,22,27,www.cofc.edu,,,
476,Mercer University,Macon,GA,Private,5057,8653,32240,28528,51293,85100,73,1170,1340,25,30,www.mercer.edu,,,
584,Capital University,Columbus,OH,Private,3120,3384,32210,25272,48674,85100,69,1075,1245,22,27,www.capital.edu,,,
465,Roanoke College,Salem,VA,Private,2035,2087,32190,26726,59327,85100,67,1040,1230,22,27,roanoke.edu,,,
367,Concordia College—Moorhead,Moorhead,MN,Private,2059,2140,32174,23456,49488,85200,62,1055,1305,22,28,www.concordiacollege.edu,,,
354,"SUNY, College at New Paltz",New Paltz,NY,Public,7565,7709,31971,8061,34080,85200,44,1100,1260,23,28,www.newpaltz.edu,,,
405,University of Northern Iowa,Cedar Falls,IA,Public,11334,11861,31956,4677,31872,85300,81,1080,1360,21,26,www.uni.edu,,,
541,Doane University,Crete,NE,Private,1069,1072,31815,20109,46710,85300,65,,,20,25,www.doane.edu,,,
375,"University of Minnesota, Morris",Morris,MN,Public,1627,1912,31808,11572,25942,85300,64,1150,1390,22,28,www.morris.umn.edu,,,
473,East Carolina University,Greenville,NC,Public,25207,29131,31592,8225,38277,85400,79,1030,1180,20,24,www.ecu.edu,,,
595,Carthage College,Kenosha,WI,Private,2860,2940,31492,26379,57250,85400,68,1040,1300,21,27,www.carthage.edu,,,
468,Spelman College,Atlanta,GA,Private,2137,2166,31452,13647,51642,85400,40,1070,1215,22,26,www.spelman.edu,,,
307,Transylvania University,Lexington,KY,Private,966,983,31337,21960,50550,85600,95,,,,,https://www.transy.edu,,,
647,Indiana State University,Terre Haute,IN,Public,13626,13763,31331,9297,32938,85600,85,900,1110,17,23,www.indstate.edu,,,
505,University of North Georgia,Dahlonega,GA,Public,18782,20811,31268,5483,28094,85600,78,910,1130,20,25,www.ung.edu,,,
528,Otterbein University,Westerville,OH,Private,2608,2936,31230,20110,46390,85600,76,1040,1305,21,27,www.otterbein.edu,,,
552,Vanguard University,Costa Mesa,CA,Private,2116,2394,31138,22396,46770,85600,47,930,1120,18,24,www.vanguard.edu,,,
352,Bethel University,Saint Paul,MN,Private,3006,3797,31102,19821,50350,85700,83,1030,1360,21,27,www.bethel.edu,,,
416,Azusa Pacific University,Azusa,CA,Private,6263,9926,31039,21186,52396,85700,60,990,1220,21,27,www.apu.edu,,,
257,Beloit College,Beloit,WI,Private,1402,1509,31014,30344,59442,85700,54,,,,,www.beloit.edu,,,
640,University of Memphis,Memphis,TN,Public,19875,21521,30974,8960,36372,85800,85,1010,1230,19,25,www.mephis.edu,,,
443,Stockton University,Galloway,NJ,Public,9105,9216,30820,12270,37234,85800,82,1010,1200,19,25,www.stockton.edu,,,
232,Truman State University,Kirksville,MO,Public,6272,6289,30563,8778,27878,85800,67,1185,1420,24,30,www.truman.edu,,,
617,Indiana University of Pennsylvania,Indiana,PA,Public,12003,12431,30504,6772,32461,85900,91,910,1120,17,23,ww.iup.edu,,,
344,Luther College,Decorah,IA,Private,2053,2214,30503,26533,54045,85900,65,1023,1305,23,28,www.luther.edu,,,
634,Western Illinois University,Macomb,IL,Public,9441,9656,30502,9239,25835,85900,60,,,18,23,www.wiu.edu,,,
