Rank,Name,City,State,Public_Private,Undergraduate_Population,Student_Population,Net_Price,Average_Grant_Aid,Total_Annual_Cost,Alumni_Salary,Acceptance_Rate,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,Website,,,
343,Mills College,Oakland,CA,Private,869,1310,25614,35560,63767,91200,87,,,,,www.mills.edu,,,
320,Towson University,Towson,MD,Public,21615,22705,25596,8815,38754,91200,77,1055,1210,21,25,www.towson.edu,,,
361,Rowan University,Glassboro,NJ,Public,16047,18484,25492,9357,39526,91200,69,1050,1260,22,28,www.rowan.edu,,,
482,Florida Atlantic University,Boca Raton,FL,Public,30208,31454,25455,8635,35804,91200,60,1060,1220,21,26,www.fau.edu,,,
357,Gordon College,Wenham,MA,Private,1784,1963,25442,17558,49940,91300,89,1050,1290,22,29,www.gordon.edu,,,
250,College of Wooster,Wooster,OH,Private,1980,2122,25429,30851,61900,91300,56,1150,1380,24,30,wooster.edu,,,
228,University of South Florida,Tampa,FL,Public,37076,43540,25405,7937,32324,91300,45,1150,1310,24,29,www.usf.edu,,,
392,Carroll College,Helena,MT,Private,1362,1415,25322,20475,48538,91400,78,1080,1270,22,28,www.carroll.edu,,,
588,Oglethorpe University,Atlanta,GA,Private,1250,1589,25306,27532,53490,91400,58,1110,1310,22,28,www.oglethorpe.edu,,,
452,University of New England,Biddeford,ME,Private,8281,8798,25273,19228,54260,91500,81,1030,1210,21,26,www.une.edu,,,
433,University of Tampa,Tampa,FL,Private,8101,8895,25194,12304,43708,91500,53,1070,1230,22,27,www.ut.edu,,,
583,Saint Cloud State University,St. Cloud,MN,Public,14975,15955,25192,5216,28920,91600,86,958,1188,18,24,www.stcloudstate.edu,,,
385,"University of Hawaii, Manoa",Honolulu,HI,Public,15299,17612,25117,7227,51550,91600,83,1050,1240,21,26,manoa.hawaii.edu,,,
616,University of New Orleans,New Orleans,LA,Public,7964,8082,25117,8151,28568,91600,57,1030,1250,20,25,www.uno.edu,,,
601,Wayne State University,Detroit,MI,Public,20314,27064,25020,9682,40763,91700,67,1000,1210,21,28,wayne.edu,,,
383,Le Moyne College,Syracuse,NY,Private,3148,3431,25017,22291,49995,91700,64,1080,1240,22,27,www.lemoyne.edu,,,
471,South Dakota State University,Brookings,SD,Public,12516,13103,25007,4201,26052,91900,91,980,1260,20,26,www.sdstate.edu,,,
403,Linfield College,McMinnville,OR,Private,1535,1692,24993,25864,56712,92000,81,1020,1210,20,26,www.linfield.edu,,,
382,University of St. Thomas (TX),Houston,TX,Private,1979,3168,24930,23263,46506,92000,81,1070,1235,21,27,https://www.stthom.edu/home/index.aqf,,,
580,Alfred University,Alfred,NY,Private,2017,2354,24829,20676,43686,92000,63,990,1210,21,26,www.alfred.edu,,,
606,"University of Texas, El Paso",El Paso,TX,Public,24386,25078,24814,9183,36955,92100,100,920,1130,16,22,www.utep.edu,,,
137,Mount Holyoke College,South Hadley,MA,Private,2334,2393,24808,31370,63900,92100,51,1270,1463,29,33,https://www.mtholyoke.edu,,,
437,Washington &amp; Jefferson College,Washington,PA,Private,1412,1424,24795,29017,60134,92100,48,,,,,www.washjeff.edu,,,
342,Westminster College (UT),Salt Lake City,UT,Private,2422,2570,24761,20070,47784,92200,93,1060,1267,21,28,https://www.westminstercollege.edu,,,
564,Western Michigan University,Kalamazoo,MI,Public,19990,22869,24745,7894,27895,92200,82,960,1190,20,26,wmich.edu,,,
568,Bloomsburg University of Pennsylvania,Bloomsburg,PA,Public,9260,9729,24722,5720,35750,92200,73,970,1150,19,24,www.bloomu.edu,,,
418,West Chester University of Pennsylvania,West Chester,PA,Public,15851,17306,24704,5743,38253,92200,69,1040,1210,21,26,www.wcupa.edu,,,
373,Hampshire College,Amherst,MA,Private,1268,1382,24679,30632,67114,92300,63,,,,,www.hampshire.edu,,,
609,University of Toledo,Toledo,OH,Public,18077,20579,24628,8050,34375,92500,94,1020,1240,20,26,www.utoledo.edu,,,
259,Rockhurst University,Kansas City,MO,Private,2176,3043,24558,26031,51631,92500,72,1050,1230,22,27,www.rockhurst.edu,,,
293,Biola University,La Mirada,CA,Private,4256,6172,24545,18028,54516,92500,72,1063,1298,21,28,www.biola.edu,,,
555,"University of Louisiana, Lafayette",Lafayette,LA,Public,17297,17556,24529,7899,38503,92500,51,820,1180,21,26,www.louisiana.edu,,,
485,"University of North Carolina, Charlotte",Charlotte,NC,Public,26758,29317,24525,7385,37081,92600,66,1110,1270,22,26,www.uncc.edu,,,
376,Roger Williams University,Bristol,RI,Private,5024,5472,24449,13685,52700,92700,82,,,,,rwu.edu,,,
151,Florida State University,Tallahassee,FL,Public,36787,41362,24433,6628,34904,92700,49,1190,1330,26,30,www.fsu.edu,,,
448,North Central College,Naperville,IL,Private,2883,2965,24355,23128,51228,92900,54,1063,1323,22,27,northcentralcollege.edu/home,,,
546,Fairleigh Dickinson University,Teaneck,NJ,Private,6168,7846,24334,31560,56618,93000,88,1002,1200,20,25,view.fdu.edu/default.aspx?id=320,,,
291,Messiah College,Mechanicsburg,PA,Private,2866,3331,24287,18110,47930,93100,77,1100,1310,22,29,www.messiah.edu,,,
378,Lebanon Valley College,Annville,PA,Private,1784,1910,24279,26230,57390,93100,73,1063,1250,22,26,www.lvc.edu,,,
269,Juniata College,Huntingdon,PA,Private,1495,1638,24263,29639,58165,93100,71,,,,,www.juniata.edu,,,
348,Austin College,Sherman,TX,Private,1228,1288,24250,29820,53784,93100,52,1160,1360,23,29,www.austincollege.edu,,,
540,Central Washington University,Ellensburg,WA,Public,12901,15944,24245,7096,36708,93200,86,910,1100,17,24,www.cwu.edu,,,
184,Lewis &amp; Clark College,Portland,OR,Private,2174,3339,24242,25539,62086,93200,71,1210,1390,27,31,www.lclark.edu,,,
625,St. Francis College,Brooklyn,NY,Private,2362,2745,24231,15533,44488,93200,63,950,1120,20,24,www.sfc.edu,,,
566,Oakland University,Rochester,MI,Public,19321,19333,24165,9476,36581,93300,84,1010,1230,21,27,www.oakland.edu,,,
438,Ohio University,Athens,OH,Public,26467,29369,24140,6291,36706,93300,74,1080,1260,22,26,www.ohio.edu,,,
235,"SUNY, Geneseo",Geneseo,NY,Public,5652,5792,24047,6708,34740,93300,72,1120,1300,24,29,geneseo.edu,,,
413,Brigham Young University-Idaho,Rexburg,ID,Private,51881,69458,24034,4070,12322,93500,95,990,1180,20,25,www.byui.edu,,,
351,Allegheny College,Meadville,PA,Private,1802,1957,24022,33282,61120,93500,68,1140,1320,23,29,allegheny.edu,,,
281,Washington College,Chestertown,MD,Private,1484,1520,23977,26844,61010,93500,48,,,,,www.washcoll.edu,,,
315,Southwestern University,Georgetown,TX,Private,1396,1536,23948,25506,54330,93500,43,1110,1320,23,29,www.southwestern.edu,,,
368,"University of Wisconsin, Eau Claire",Eau Claire,WI,Public,10904,10944,23935,3449,27990,93600,76,,,21,26,www.uwec.edu,,,
133,Elon University,Elon,NC,Private,6214,6791,23891,14061,49642,93700,67,1140,1330,25,29,www.elon.edu,,,
446,Saint Mary's University of Minnesota,Winona,MN,Private,1883,5754,23827,21359,45300,93700,64,960,1210,20,25,www.smumn.edu,,,
451,"SUNY, Farmingdale State College",Farmingdale,NY,Public,9574,12307,23799,7438,33818,93800,59,980,1140,19,23,www.farmingdale.edu,,,
499,"California State University, Los Angeles",Los Angeles,CA,Public,24862,28531,23792,9553,36726,93800,46,890,1080,15,20,www.calstatela.edu,,,
445,Utah State University,Logan,UT,Public,27679,29784,23729,8145,33264,93900,89,1000,1220,21,27,www.usu.edu,,,
484,Pacific University (OR),Forest Grove,OR,Private,1995,3893,23699,26103,57488,94000,84,1070,1260,22,27,www.pacificu.edu,,,
325,Xavier University,Cincinnati,OH,Private,4893,6786,23692,20690,52380,94000,74,1060,1240,22,28,www.xavier.edu,,,
567,University of New Mexico,Albuquerque,NM,Public,23124,26221,23687,6847,36736,94000,67,930,1170,19,25,www.unm.edu,,,
604,Weber State University,Ogden,UT,Public,27949,32248,23672,4579,29912,94000,100,,,,,www.weber.edu,,,
432,Mississippi State University,Starkville,MS,Public,19554,21883,23663,10003,38410,94100,62,,,21,28,www.msstate.edu,,,
434,"California State University, Stanislaus",Turlock,CA,Public,9299,10327,23652,8875,32434,94200,77,,,,,www.csustan.edu,,,
536,Marietta College,Marietta,OH,Private,1145,1220,23579,22617,50104,94300,67,960,1215,20,25,www.marietta.edu,,,
350,Simmons College,Boston,MA,Private,1825,6283,23560,26660,58230,94300,60,1130,1310,24,29,www.simmons.edu,,,
222,Emerson College,Boston,MA,Private,4088,4459,23539,20323,65324,94300,46,1200,1360,26,30,www.emerson.edu,,,
164,Kalamazoo College,Kalamazoo,MI,Private,1436,1469,23424,29059,59267,94500,73,1180,1380,26,30,www.kzoo.edu,,,
514,William Jewell College,Liberty,MO,Private,933,1082,23416,25621,47928,94500,48,990,1240,23,28,www.jewell.edu/home,,,
301,"CUNY, Hunter College",New York,NY,Public,20626,23005,23416,8039,29454,94500,40,1120,1290,,,www.hunter.cuny.edu/main,,,
447,McDaniel College,Westminster,MD,Private,1646,2819,23393,30807,55830,94600,85,1060,1230,21,28,https://www.mcdaniel.edu,,,
551,"CUNY, College of Staten Island",Staten Island,NY,Public,13594,15245,23366,7929,39124,94600,91,,,,,www.csi.cuny.edu,,,
453,Susquehanna University,Selinsgrove,PA,Private,2351,2370,23362,30386,59780,94700,70,,,,,www.susqu.edu,,,
298,Regis University,Denver,CO,Private,5127,8341,23348,21367,51202,94800,60,1070,1266,20,26,www.regis.edu,,,
509,University of Maine,Orono,ME,Public,10304,11240,23310,8544,43618,95000,92,1050,1250,22,27,www.umaine.edu,,,
340,Illinois State University,Normal,IL,Public,20115,20784,23265,9124,40036,95000,89,,,21,26,www.illinoisstate.edu,,,
349,"University of Nevada, Reno",Reno,NV,Public,20196,21657,23249,5672,38398,95000,88,1070,1260,21,26,www.unr.edu,,,
255,California Lutheran University,Thousand Oaks,CA,Private,3207,4236,23244,27282,59877,95000,73,1060,1230,21,27,www.callutheran.edu,,,
356,Drew University,Madison,NJ,Private,1678,2117,23237,35351,66486,95000,63,,,,,www.drew.edu,,,
224,"University of Tennessee, Knoxville",Knoxville,TN,Public,23803,28321,23188,8903,49350,95100,77,1140,1310,24,30,www.utk.edu,,,
486,Tennessee Technological University,Cookeville,TN,Public,10215,10504,23144,9050,42377,95100,64,1010,1250,21,28,www.tntech.edu,,,
341,Ramapo College of New Jersey,Mahwah,NJ,Public,6120,6466,23130,11907,39973,95200,57,1050,1230,21,26,https://www.ramapo.edu,,,
538,St. Mary's University (TX),San Antonio,TX,Private,2432,3649,23100,22029,44490,95300,80,1040,1230,20,26,https://www.stmarytx.edu,,,
440,Moravian College,Bethlehem,PA,Private,2195,2446,23064,25900,57868,95300,76,1010,1210,21,27,www.moravian.edu,,,
161,Saint Louis University,St. Louis,MO,Private,14373,14581,22998,23580,57214,95300,64,1170,1390,25,31,www.slu.edu,,,
111,Bryn Mawr College,Bryn Mawr,PA,Private,1442,1640,22968,37710,68410,95300,38,1310,1500,29,33,www.brynmawr.edu,,,
229,St. Mary's College of Maryland,St. Mary's City,MD,Public,1598,1746,22937,8414,45130,95400,82,1070,1290,22,28,www.smcm.edu,,,
529,University of Massachusetts Boston,Boston,MA,Public,15848,16415,22927,11342,46941,95400,75,1040,1220,21,26,www.umb.edu,,,
331,Knox College,Galesburg,IL,Private,1356,1376,22901,29331,56554,95400,72,,,,,www.knox.edu,,,
422,Montclair State University,Montclair,NJ,Public,18785,21013,22853,9983,38435,95400,71,990,1150,,,www.montclair.edu,,,
621,Northern Illinois University,DeKalb,IL,Public,15429,18045,22844,9482,38314,95500,53,,,19,24,www.niu.edu/index.shtml,,,
429,Whittier College,Whittier,CA,Private,1660,1987,22839,28841,61409,95600,74,1010,1220,21,27,www.whittier.edu,,,
466,"University of Colorado, Denver",Denver,CO,Public,19806,24839,22828,6251,44114,95600,65,1060,1280,21,27,www.cu.edu,,,
379,Assumption College,Worcester,MA,Private,2318,2481,22828,20777,54594,95700,79,,,,,https://www.assumption.edu,,,
442,"University of Minnesota, Duluth",Duluth,MN,Public,10490,11168,22810,7100,29542,95700,77,1050,1280,22,26,www.d.umn.edu,,,
191,University of Oregon,Eugene,OR,Public,22400,22887,22786,8662,49542,95800,83,1080,1270,22,28,www.uoregon.edu,,,
194,Creighton University,Omaha,NE,Private,4626,8654,22766,20293,53452,95800,72,1070,1290,25,30,www.creighton.edu,,,
299,Temple University,Philadelphia,PA,Public,31739,39967,22736,10739,44190,95900,57,,,,,www.temple.edu,,,
399,University of North Dakota,Grand Forks,ND,Public,13957,14406,22667,4640,33017,96000,83,1050,1270,21,26,und.edu,,,
248,Loyola University Chicago,Chicago,IL,Private,12864,16673,22583,22016,59958,96000,71,1120,1310,24,29,www.luc.edu,,,
233,Illinois Wesleyan University,Bloomington,IL,Private,1649,1791,22558,26421,58830,96000,61,1195,1395,24,29,www.iwu.edu,,,
223,"Colorado State University, Fort Collins",Fort Collins,CO,Public,28404,33083,22463,8221,43437,96100,83,1100,1300,22,28,www.colostate.edu,,,
294,Duquesne University,Pittsburgh,PA,Private,6467,9190,22443,19545,52108,96100,72,1120,1270,24,29,www.duq.edu,,,
157,Sarah Lawrence College,Bronxville,NY,Private,1470,1696,22351,28916,70266,96100,53,1240,1410,27,31,www.slc.edu,,,
427,Montana State University,Bozeman,MT,Public,15848,16613,22323,5661,38121,96200,83,1090,1300,21,28,www.montana.edu,,,
308,University of Kentucky,Lexington,KY,Public,23718,29465,22292,9387,45634,96400,96,1080,1330,22,28,www.uky.edu,,,
353,Adelphi University,Garden City,NY,Private,5768,7978,22286,20425,56358,96400,73,1060,1240,22,27,www.adelphi.edu,,,
278,University of Dallas,Irving,TX,Private,1505,2510,22202,25952,54876,96400,47,1140,1370,24,31,www.udallas.edu,,,
511,Christian Brothers University,Memphis,TN,Private,1919,2157,22193,23780,44430,96500,53,,,21,27,www.cbu.edu/admissions,,,
80,Grinnell College,Grinnell,IA,Private,1712,1765,22098,33946,66214,96500,29,1310,1510,30,34,www.grinnell.edu,,,
171,Wofford College,Spartanburg,SC,Private,1678,1737,22032,28158,57749,96600,69,1120,1310,29,30,www.wofford.edu,,,
54,Pitzer College,Claremont,CA,Private,1074,1087,22018,41257,70500,96600,16,,,,,www.pitzer.edu,,,
646,New Mexico State University,Las Cruces,NM,Public,13379,14432,22005,9582,34720,96700,64,910,1160,18,23,www.nmsu.edu,,,
239,"University of Nebraska, Lincoln",Lincoln,NE,Public,22012,26079,21973,8538,40182,96700,64,1100,1380,22,29,www.unl.edu,,,
274,"CUNY, Queens College",Queens,NY,Public,19866,20379,21946,9104,35692,96700,43,1060,1220,,,www.qc.cuny.edu/Pages/home.aspx,,,
214,Gustavus Adolphus College,St. Peter,MN,Private,2181,2263,21923,24333,55800,96800,68,,,,,https://gustavus.edu,,,
85,Oberlin College,Oberlin,OH,Private,2853,3030,21898,28876,71330,96800,34,1280,1450,28,33,www.oberlin.edu,,,
217,"SUNY, College of Environmental Science and Forestry",Syracuse,NY,Public,1825,2213,21892,7628,36953,97000,52,1150,1300,24,28,www.esf.edu,,,
457,Sonoma State University,Rohnert Park,CA,Public,9244,9481,21870,7277,37914,97100,82,980,1170,19,24,www.sonoma.edu,,,
131,"Indiana University, Bloomington",Bloomington,IN,Public,41317,43710,21836,11647,48739,97100,76,1140,1350,25,31,www.indiana.edu,,,
366,Kansas State University,Manhattan,KS,Public,21022,22795,21703,6435,39696,97200,94,,,,,www.k-state.edu,,,
287,John Carroll University,University Heights,OH,Private,3273,3545,21655,25797,55820,97300,85,1000,1140,22,27,sites.jcu.edu,,,
313,University of Cincinnati,Cincinnati,OH,Public,28857,37155,21618,7045,44490,97300,76,1120,1340,23,28,www.uc.edu,,,
417,"California State University, Fresno",Fresno,CA,Public,23020,25325,21556,10267,32311,97300,59,910,1110,16,22,www.fresnostate.edu,,,
474,"California State University, Northridge",Northridge,CA,Public,37184,41319,21490,9782,34007,97300,58,910,1120,17,22,www.csun.edu,,,
252,University of Alabama,Tuscaloosa,AL,Public,35625,38563,21474,16494,46744,97400,53,1050,1280,23,32,www.ua.edu,,,
119,The Juilliard School,New York,NY,Private,590,927,21460,29417,62600,97400,6,,,,,,,,
512,Manhattanville College,Purchase,NY,Private,1802,2690,21433,26213,54780,97500,82,,,,,www.mville.edu,,,
524,Mount Saint Mary's University (CA),Los Angeles,CA,Private,3100,3226,21374,23270,59392,97500,81,920,1120,16,21,www.msmc.la.edu/index.asp,,,
264,Wheaton College (MA),Norton,MA,Private,1688,1695,21345,31592,65818,97500,48,1150,1350,26,30,wheatoncollege.edu,,,
213,Willamette University,Salem,OR,Private,2181,2498,21328,27489,62262,97700,89,,,,,www.willamette.edu,,,
215,Quinnipiac University,Hamden,CT,Private,7704,10200,21316,22460,63770,97700,74,1080,1260,23,27,www.quinnipiac.edu,,,
435,University of Idaho,Moscow,ID,Public,11344,12072,21291,6993,37624,97700,73,1010,1230,20,26,www.uidaho.edu,,,
150,Rhodes College,Memphis,TN,Private,2010,2102,21288,30234,61538,97800,51,1220,1410,27,32,www.rhodes.edu,,,
154,Sewanee—University of the South,Sewanee,TN,Private,1778,1835,21227,23449,60950,97800,47,,,,,www.sewanee.edu,,,
362,"CUNY, Brooklyn College",Brooklyn,NY,Public,17679,17803,21206,9250,34942,97800,40,1050,1210,,,www.brooklyn.cuny.edu,,,
92,Colorado College,Colorado Springs,CO,Private,2118,2450,21134,36872,68616,97900,15,,,,,www.coloradocollege.edu,,,
414,Valparaiso University,Valparaiso,IN,Private,3531,4026,21109,26441,52980,98000,84,1060,1270,23,29,www.valpo.edu,,,
271,University of Arkansas,Fayetteville,AR,Public,24344,27558,21108,6629,40162,98000,66,1110,1280,23,29,www.uark.edu,,,
196,University at Buffalo (SUNY),Buffalo,NY,Public,23075,30648,21103,8198,43398,98000,57,1080,1260,24,28,www.buffalo.edu,,,
327,Pacific Lutheran University,Tacoma,WA,Private,2942,3122,21044,26984,54800,98100,75,1040,1270,21,27,www.plu.edu,,,
204,University of Mary Washington,Fredericksburg,VA,Public,4800,4808,21025,5562,42716,98200,73,1080,1260,22,27,www.umw.edu,,,
81,Smith College,Northampton,MA,Private,2594,2918,21011,39913,69563,98200,32,,,,,www.smith.edu,,,
381,Grove City College,Grove City,PA,Private,2373,2383,20940,6843,28504,98400,80,1071,1249,23,32,www.gcc.edu,,,
300,"California State University, Fullerton",Fullerton,CA,Public,38279,40905,20926,8436,39222,98400,46,1020,1180,19,24,www.fullerton.edu,,,
282,Saint Michael's College,Colchester,VT,Private,2077,2126,20913,23373,57560,98500,85,,,,,www.smcvt.edu,,,
260,University of Kansas,Lawrence,KS,Public,20894,27625,20909,9205,41074,98600,93,,,23,28,www.ku.edu,,,
369,North Dakota State University,Fargo,ND,Public,12915,14358,20866,4666,33478,98600,92,1060,1328,21,26,www.ndsu.edu,,,
219,"University of Missouri, Columbia",Columbia,MO,Public,27923,30844,20853,9316,43330,98600,78,1120,1350,23,29,www.missouri.edu,,,
358,Oklahoma State University,Stillwater,OK,Public,23241,25295,20771,9874,38686,98600,74,1070,1260,22,28,okstate.edu,,,
243,Ithaca College,Ithaca,NY,Private,6488,6516,20769,25073,61339,98600,71,,,,,www.ithaca.edu,,,
121,Ohio State University,Columbus,OH,Public,49185,59837,20767,9730,46141,98600,48,1260,1450,27,31,www.osu.edu,,,
60,Scripps College,Claremont,CA,Private,1083,1092,20739,31633,71060,98600,33,1290,1460,29,33,www.scrippscollege.edu,,,
645,Morehouse College,Atlanta,GA,Private,2202,2219,20706,17318,48723,98700,74,950,1160,18,23,https://www.morehouse.edu,,,
148,Texas Christian University,Fort Worth,TX,Private,9258,10489,20695,24864,62970,98700,41,1130,1330,25,30,www.tcu.edu,,,
347,University of Wyoming,Laramie,WY,Public,10874,12397,20681,7422,31387,98800,97,1040,1290,22,27,www.uwyo.edu,,,
127,Furman University,Greenville,SC,Private,2863,2949,20605,30434,63706,98800,61,1190,1380,26,31,www2.furman.edu/Pages/default.aspx,,,
193,Lawrence University,Appleton,WI,Private,1467,1545,20547,28643,58458,98800,61,1220,1460,25,32,www.lawrence.edu,,,
478,Rider University,Lawrenceville,NJ,Private,4371,5073,20539,25766,59700,99000,67,990,1190,19,26,www.rider.edu,,,
411,"CUNY, The City College of New York",New York,NY,Public,15842,16001,20517,9669,36674,99100,46,1040,1240,,,www.ccny.cuny.edu,,,
579,Hartwick College,Oneonta,NY,Private,1201,1435,20511,29494,57627,99200,89,920,1100,21,26,www.hartwick.edu,,,
462,Ohio Wesleyan University,Delaware,OH,Private,1560,1712,20493,31028,60350,99200,71,,,,,www.owu.edu,,,
258,Western Washington University,Bellingham,WA,Public,15915,16246,20435,6500,38067,99300,85,1080,1280,22,28,www.wwu.edu,,,
424,Albion College,Albion,MI,Private,1476,1568,20402,34181,56750,99300,71,1010,1200,20,26,www.albion.edu,,,
216,Butler University,Indianapolis,IN,Private,4311,5145,20379,16348,56740,99300,65,1150,1320,25,30,www.butler.edu,,,
160,University of Iowa,Iowa City,IA,Public,27051,32166,20367,8045,44251,99400,86,1140,1370,23,28,www.uiowa.edu,,,
168,University of Vermont,Burlington,VT,Public,12945,13340,20364,16347,56890,99400,67,1180,1350,25,30,www.uvm.edu,,,
178,Chapman University,Orange,CA,Private,6756,9392,20356,26378,69464,99400,57,1190,1360,25,30,www.chapman.edu,,,
501,"University of Texas, Arlington",Arlington,TX,Public,42966,46497,20343,8484,39860,99500,71,1060,1270,20,27,www.uta.edu,,,
426,San Francisco State University,San Francisco,CA,Public,29485,29758,20333,8470,38599,99500,70,950,1150,18,24,www.sfsu.edu,,,
90,University of Miami (FL),Coral Gables,FL,Private,12002,17003,20282,20647,66274,99600,36,1230,1420,28,32,www.miami.edu,,,
122,Wheaton College (IL),Wheaton,IL,Private,2544,2900,20237,16173,47696,99700,85,1230,1410,27,32,www.wheaton.edu,,,
251,University of Scranton,Scranton,PA,Private,3893,5373,20234,22094,61096,99700,75,1080,1280,23,28,www.scranton.edu,,,
444,University of Rhode Island,Kingston,RI,Public,16255,18089,20221,10834,45735,99700,70,1050,1230,22,27,www.uri.edu,,,
101,Skidmore College,Saratoga Springs,NY,Private,2684,2835,20210,41746,69450,99700,25,1205,1400,27,31,www.skidmore.edu,,,
454,West Virginia University,Morgantown,WV,Public,24183,28406,20204,8964,37712,99900,72,1020,1210,21,27,www.wvu.edu,,,
192,Drake University,Des Moines,IA,Private,3606,4904,20073,21239,54020,99900,69,1100,1350,24,30,www.drake.edu,,,
120,Dickinson College,Carlisle,PA,Private,2382,2422,20050,34171,69071,100100,49,,,,,www.dickinson.edu,,,
61,Vassar College,Poughkeepsie,NY,Private,2353,2572,19986,44517,70370,100100,24,1330,1500,30,33,www.vassar.edu,,,
246,University of New Hampshire,Durham,NH,Public,13688,15363,19979,12539,47570,100300,77,1070,1260,23,28,www.unh.edu,,,
319,Saint Anselm College,Manchester,NH,Private,1964,1995,19959,23338,56846,100300,76,1140,1300,24,28,www.anselm.edu,,,
144,University of Pittsburgh,Pittsburgh,PA,Public,20822,28642,19935,12484,44812,100400,60,1240,1418,27,32,www.pitt.edu,,,
86,Macalester College,St. Paul,MN,Private,2136,2249,19905,33335,66280,100400,41,1300,1480,29,32,www.macalester.edu,,,
370,Sacred Heart University,Fairfield,CT,Private,5937,8543,19880,15472,58440,100500,60,,,,,https://www.sacredheart.edu,,,
188,"University of Oklahoma, Norman",Norman,OK,Public,24255,28527,19807,9372,43764,100600,74,1150,1380,23,29,www.ou.edu,,,
112,Rhode Island School of Design,Providence,RI,Private,2030,2440,19786,26169,67620,100600,32,1130,1370,25,31,www.risd.edu,,,
397,Louisiana Tech University,Ruston,LA,Public,12708,12839,19779,10650,29277,100700,65,870,1100,22,27,www.latech.edu,,,
99,University of Georgia,Athens,GA,Public,30690,37606,19759,10076,44978,100700,54,1200,1370,26,31,www.uga.edu,,,
159,Michigan State University,East Lansing,MI,Public,42252,50019,19725,10911,53424,100800,72,1100,1320,23,28,www.msu.edu,,,
128,Connecticut College,New London,CT,Private,1817,1928,19720,39603,69440,100800,38,,,,,www.conncoll.edu,,,
45,"University of North Carolina, Chapel Hill",Chapel Hill,NC,Public,19429,29911,19696,17291,51152,100800,24,1270,1460,28,33,www.unc.edu,,,
186,"Arizona State University, Tempe",Tempe,AZ,Public,46038,51164,19686,12081,44110,100900,84,1120,1350,22,29,www.asu.edu,,,
240,"University of Texas, Dallas",Richardson,TX,Public,18764,27642,19519,14321,45488,100900,76,1220,1430,26,32,www.utdallas.edu,,,
218,University of Arizona,Tucson,AZ,Public,36862,43751,19456,11272,51707,101000,84,,,,,www.arizona.edu,,,
635,"University of Alaska, Anchorage",Anchorage,AK,Public,15733,23824,19454,6207,39902,101000,83,,,,,www.uaa.alaska.edu,,,
132,DePauw University,Greencastle,IN,Private,2158,2253,19431,31570,62567,101000,67,1110,1330,24,29,www.depauw.edu,,,
189,Marist College,Poughkeepsie,NY,Private,6236,6657,19409,15637,54880,101000,43,,,,,www.marist.edu,,,
469,"California State University, Sacramento",Sacramento,CA,Public,30445,31255,19340,8984,37622,101100,68,940,1140,17,23,www.csus.edu,,,
211,Iowa State University,Ames,IA,Public,32814,36158,19335,7882,34442,101300,89,1160,1410,22,28,www.iastate.edu,,,
173,University of Puget Sound,Tacoma,WA,Private,2545,2701,19325,21534,63510,101300,84,,,,,www.pugetsound.edu,,,
388,Howard University,Washington,DC,Private,6156,9392,19322,20427,43201,101300,41,1090,1290,22,28,www.howard.edu,,,
206,Clark University (MA),Worcester,MA,Private,2476,3153,19311,24329,55010,101400,56,,,,,www.clarku.edu,,,
202,Baylor University,Waco,TX,Private,14951,17059,19254,21350,60233,101400,39,1190,1360,26,31,www.baylor.edu,,,
285,Siena College,Loudonville,NY,Private,3226,3288,19251,24332,53855,101500,78,,,,,www.siena.edu/pages/1.asp,,,
542,University of Hartford,West Hartford,CT,Private,6259,6561,19128,21526,54662,101600,81,1030,1230,21,27,www.hartford.edu,,,
265,New School,New York,NY,Private,8911,10389,19035,19358,69475,101700,62,1100,1310,24,28,www.newschool.edu,,,
290,"University at Albany, SUNY",Albany,NY,Public,14939,17743,19019,9096,40562,101700,54,1080,1260,22,26,www.albany.edu,,,
272,"California State University, Long Beach",Long Beach,CA,Public,34415,37622,18879,8454,35946,101700,28,1020,1230,20,26,www.csulb.edu,,,
296,Ursinus College,Collegeville,PA,Private,1507,1576,18877,32962,66242,101800,78,1110,1310,24,30,www.ursinus.edu,,,
574,"University of Alaska, Fairbanks",Fairbanks,AK,Public,7664,11866,18814,7457,32563,101800,77,1030,1270,17,25,www.alaska.edu,,,
149,College of New Jersey,Ewing,NJ,Public,7212,7552,18792,9936,45897,101800,48,1170,1330,,,tcnj.edu,,,
179,Muhlenberg College,Allentown,PA,Private,2367,2535,18627,25282,65330,101900,48,1140,1340,25,30,www.muhlenberg.edu,,,
116,St. Olaf College,Northfield,MN,Private,3035,3137,18605,28573,58330,101900,43,1150,1400,25,31,wp.stolaf.edu,,,
328,Pratt Institute,Brooklyn,NY,Private,4050,5035,18602,20362,65308,102300,57,1040,1290,24,29,https://www.pratt.edu,,,
236,Westmont College,Santa Barbara,CA,Private,1300,1356,18592,26711,60930,102400,85,1130,1380,23,30,www.westmont.edu,,,
275,University of Redlands,Redlands,CA,Private,3556,4898,18576,30419,67024,102400,75,1070,1250,23,28,www.redlands.edu,,,
380,Merrimack College,North Andover,MA,Private,3786,4191,18527,20113,57865,102500,82,,,,,www.merrimack.edu/index.php,,,
136,James Madison University,Harrisonburg,VA,Public,21167,21836,18517,8556,42522,102600,75,1100,1260,23,28,www.jmu.edu,,,
